Name
INSILICON CORP
TIPPINGPOINT TECHNOLOGIES INC
UPROAR INC
IMPROVENET INC
"COSTAR TECHNOLOGIES, INC."
LOUDEYE CORP
ACTIVCARD SA
RADVISION LTD
HOMEGROCER COM INC
SELECTICA INC
OTG SOFTWARE INC
IPRINT TECHNOLOGIES INC
VERADO HOLDINGS INC
NET2000 COMMUNICATIONS INC
VERSATA INC
PRIME RESPONSE INC/DE
REGISTER COM INC
"ASIAINFO-LINKAGE, INC"
NIKU CORP
NET GENESIS CORP
ONVIA INC
SWITCHBOARD INC
AQUANTIVE INC
MATRIXONE INC
PALM INC
DIGITALTHINK INC
INTERSIL CORP/DE
HOTELS COM
NEXTEL PARTNERS INC
INFORTE CORP
STARDRIVE SOLUTIONS INC
LENDINGTREE INC
"SAVVIS, INC."
ELOQUENT INC
CHORDIANT SOFTWARE INC
APROPOS TECHNOLOGY INC
VANTAGEMED CORP
IPET HOLDINGS INC
WEBMETHODS INC
FLAG TELECOM GROUP LTD
LANTE CORP
FARGO ELECTRONICS INC
LIGHTSPAN INC
VICINITY CORP
QUOVADX INC
DELANO TECHNOLOGY CORP
FN ESTATE INC
WITNESS SYSTEMS INC
ORGANIC INC
BUY COM INC
AVANEX CORP
FIREPOND INC
EMERGE INTERACTIVE INC
DOBSON COMMUNICATIONS CORP
"WQN, INC."
THERMA WAVE INC
EON COMMUNICATIONS CORP
SKILLSOFT CORP
PROXIM WIRELESS CORP
CENTRA SOFTWARE INC
IMPSAT FIBER NETWORKS INC
QUANTUM EFFECT DEVICES INC
TURNSTONE SYSTEMS INC
724 SOLUTIONS INC
L90 INC
CAMINUS CORP
HEALTHGATE DATA CORP
EXTENSITY INC
T/R SYSTEMS INC
NEOFORMA INC
ADSTAR INC
EGREETINGS NETWORK INC
ONDISPLAY INC
C BRIDGE INTERNET SOLUTIONS INC
TRUETIME INC
ECOLLEGE COM
"GOREMOTE INTERNET COMMUNICATIONS, INC."
OPTIO SOFTWARE INC
MOTHERNATURE COM INC
EL SITIO INC
MEDICALOGIC/MEDSCAPE INC
FREEMARKETS INC
"BGC PARTNERS, INC."
EBENX INC
HEALTHCENTRAL COM
"NETRATINGS, LLC"
FOGDOG INC
PREVIEW SYSTEMS INC
ANDOVER NET INC
WORKSTREAM INC
"GEEKNET, INC"
AGENCY COM LTD
XO GROUP INC.
MCAFEE COM CORP
DIGIMARC CORP
PFSWEB INC
SMARTERKIDS COM INC
PNV INC
GETTHERE INC
DIGITAL IMPACT INC /DE/
OPENTV CORP
OFFICIAL PAYMENTS CORP
SCIQUEST INC
LIFEMINDERS INC
BLUE COAT SYSTEMS INC
MEDIAPLEX INC
EXACTIS COM INC
"NORTEM, N.V."
TERRA NETWORKS SA
VIRATA CORP
WEB STREET INC //
IMANAGE INC
RAINMAKER SYSTEMS INC
ALASKA COMMUNICATIONS SYSTEMS GROUP INC
QUINTUS CORP
SYMYX TECHNOLOGIES INC
METASOLV INC
AGILENT TECHNOLOGIES INC
RETEK INC
IMMERSION CORP
FINISAR CORP
SOMERA COMMUNICATIONS INC
NETCREATIONS INC
NEXT LEVEL COMMUNICATIONS INC
NETZEE INC
IBASIS INC
ASCENDANT SOLUTIONS INC
DATA CRITICAL CORP
SAGE INC/CA
"CHARTER COMMUNICATIONS, INC. /MO/"
EXPEDIA INC
SONICWALL INC
CVC INC
WEBVAN GROUP INC
COBALT NETWORKS INC
COLLECTORS UNIVERSE INC
BE FREE INC
TICKETS COM INC
PAC-WEST TELECOMM INC
AKAMAI TECHNOLOGIES INC
PLUG POWER INC
INTERTRUST TECHNOLOGIES CORP
"SUNCOM WIRELESS HOLDINGS, INC."
VIADOR INC
JNI CORP
DATA RETURN CORP
NAVISITE INC
SYCAMORE NETWORKS INC
RSTAR CORP
"NEXCEN BRANDS, INC."
SIFY TECHNOLOGIES LTD
CROSSROADS SYSTEMS INC
BSQUARE CORP /WA
PC TEL INC
"HEALTHTRONICS, INC."
WOMEN COM NETWORKS INC
QUICKLOGIC CORPORATION
NETRADIO CORP
NETCENTIVES INC
RESOURCEPHOENIX COM
IGO CORP
LTWC CORP
INTERWOVEN INC
VITAMINSHOPPE COM INC
TRIZETTO GROUP INC
JUPITER COMMUNICATIONS INC
HOMESERVICES COM INC
XM SATELLITE RADIO HOLDINGS INC
DSL NET INC
CALICO COMMERCE INC/
SILICON IMAGE INC
BREAKAWAY SOLUTIONS INC
SMARTDISK CORP
DALEEN TECHNOLOGIES INC
DIGITAL INSIGHT CORP
VIXEL CORP
WILLIAMS COMMUNICATIONS GROUP INC
TIVO INC
INTERNAP NETWORK SERVICES CORP
LOISLAW COM INC
APTIMUS INC
NETWORK COMMERCE INC
ITXC CORP
TELEMATE NET SOFTWARE INC
FTD COM INC
FOUNDRY NETWORKS LLC
MEDSCAPE INC
INTERSPEED INC
NETZERO INC
PROMOTIONS COM INC
BLUESTONE SOFTWARE INC
KEYNOTE SYSTEMS INC
ALTEON WEBSYSTEMS INC
EGAIN CORP
CYBERGOLD INC
BROADBASE SOFTWARE INC
SWK HOLDINGS CORP
E PIPHANY INC
YESMAIL COM INC
ASHFORD COM INC
INTERACTIVE INTELLIGENCE INC
VITRIA TECHNOLOGY INC
LUMINANT WORLDWIDE CORP
PRO AFTER INC
GARDEN COM INC
NETSILICON INC
IPIX CORP
IMAGEX COM INC
LOOKSMART LTD
AGILE SOFTWARE CORP
WINK COMMUNICATIONS INC
MYPOINTS COM INC
HEADHUNTER NET INC
NETRO CORP
