,IPO name,Offer date,SIC,Ticker,Unit,Offer price,S1Link
164,Vonage Hldgs Corp,20060523,4813,VG,1,17.0,
165,Liquidity Services Inc,20060222,7375,LQDT,1,10.0,
166,NightHawk Radiology Holdings,20060208,8071,NHWK,1,16.0,
167,Digital Music Group Inc,20060202,6794,DMGI,1,9.75,
168,IncrediMail Ltd,20060130,7371,MAIL,1,7.5,
169,Traffic.com Inc,20060125,7375,TRFC,1,12.0,
170,DealerTrack Holdings,20051212,7373,TRAK,1,17.0,
171,Vocus,20051206,7372,VOCS,1,9.0,
172,Website Pros Inc,20051101,7372,WSPI,1,10.0,
173,VistaPrint Limited,20050929,2759,VPRT,1,12.0,
174,WebMD Health Corp,20050928,7375,WBMD,1,17.5,
175,TRX Inc,20050927,7374,TRXI,1,9.0,
176,Baidu.com Inc,20050805,7375,BIDU,1,27.0,
177,Eschelon Telecom Inc,20050804,4813,ESCH,1,14.0,
178,VeriFone Holdings Inc,20050429,3578,PAY,1,10.0,
179,BofI Holding Inc,20050314,6141,BOFI,1,11.5,
180,Odimo Inc,20050214,5944,ODMO,1,9.0,
181,Gravity Co Ltd,20050207,7371,GRVY,1,13.5,
182,OptionsXpress  Holdings Inc,20050126,6211,OXPS,1,16.5,
183,Otelco Telecommunications Llc,20041216,4813,OTT,2,15.2,
184,ARBINET THEXCHANGE INC,20041216,7389,ARBX,1,17.5,
185,HouseValues Inc,20041209,8748,SOLD,1,15.0,
186,Ninetowns,20041202,7372,NINE,1,11.0,
187,InPhonic Inc,20041116,4899,INPC,1,19.0,
188,MarketAxess Holdings Inc,20041104,6211,MKTX,1,11.0,
189,eLong.com,20041027,7389,LONG,1,13.5,
190,Shopping.com Ltd,20041025,7389,SHOP,1,18.0,
191,Interchange Corp,20041018,2741,INCX,1,8.0,
192,China Finance Online Co Ltd,20041015,7389,JRJC,1,13.0,
193,PlanetOut Inc,20041013,7373,LGBT,1,9.0,
194,Gurunet Corp,20041013,7379,GRU,1,5.0,
195,51Job.Inc,20040928,7361,JOBS,1,14.0,
196,Ecost Com Inc,20040827,5961,ECST,1,5.8,
197,Google Inc,20040819,7375,GOOG,1,85.0,
198,RightNow Technologies Inc,20040805,7372,RNOW,1,7.0,
199,Greenfield Online Inc,20040715,8742,SRVY,1,13.0,
200,Kongzhong Corp,20040708,4899,KONG,1,10.0,
201,Motive Inc,20040624,7372,MOTV,1,10.0,
202,Blue Nile Inc,20040519,5944,NILE,1,20.5,
203,Shanda Interactive Ent Ltd,20040512,7375,SNDA,1,11.0,
204,Marchex Inc,20040330,7375,MCHX,1,6.5,
205,TOM Online Inc,20040305,4812,TOMO,1,15.552,
206,Provide Commerce Inc.,20031217,7389,PRVD,1,15.0,
207,Orbitz Inc.,20031217,4700,ORBZ,1,26.0,
208,Open Solutions Inc,20031125,7372,OPEN,1,17.0,
209,RedEnvelope Inc,20030924,5947,REDE,1,14.0,
210,Ipass Inc,20030723,7375,IPAS,1,14.0,
211,Plumtree Software Inc,20020604,7371,PLUM,1,8.5,
212,Overstock.com,20020530,5961,OSTK,1,13.0,
213,Netflix.com Inc,20020523,7841,NFLX,1,15.0,
214,Paypal Inc,20020214,7374,PYPL,1,13.0,
215,Bam Entertainment Inc,20011115,7372,BFUN,1,8.0,
216,Alliance Data Systems Corp,20010607,7374,ADS,1,12.0,
217,Instinet Group Inc,20010517,6211,INET,1,14.5,
218,Simplex Solutions Inc,20010502,7371,SPLX,1,12.0,
219,Loudcloud Inc,20010308,7389,LDCL,1,6.0,
220,Riverstone Networks Inc,20010215,3576,RSTN,1,12.0,
221,Go2pharmacy.com Inc,20001109,5961,GORX,1,7.875,
222,Transmeta Corp,20001106,3674,TMTA,1,21.0,
